STATION,NAME,DATE,TAVG,TMAX,TMIN
ISE00105694,"BET DAGAN, IS",2/1/2024,50,58,42
ISE00105694,"BET DAGAN, IS",2/2/2024,54,64,48
ISE00105694,"BET DAGAN, IS",2/3/2024,54,62,
ISE00105694,"BET DAGAN, IS",2/4/2024,53,60,48
ISE00105694,"BET DAGAN, IS",2/5/2024,57,62,49
ISE00105694,"BET DAGAN, IS",2/6/2024,59,69,
ISE00105694,"BET DAGAN, IS",2/7/2024,58,69,48
ISE00105694,"BET DAGAN, IS",2/8/2024,58,72,45
ISE00105694,"BET DAGAN, IS",2/9/2024,57,68,48
ISE00105694,"BET DAGAN, IS",2/10/2024,57,69,47
ISE00105694,"BET DAGAN, IS",2/11/2024,58,71,46
ISE00105694,"BET DAGAN, IS",2/12/2024,61,76,48
ISE00105694,"BET DAGAN, IS",2/13/2024,65,79,53
ISE00105694,"BET DAGAN, IS",2/14/2024,60,66,
ISM00040180,"BEN GURION, IS",2/1/2024,51,57,
ISM00040180,"BEN GURION, IS",2/2/2024,54,,49
ISM00040180,"BEN GURION, IS",2/3/2024,55,61,
ISM00040180,"BEN GURION, IS",2/4/2024,54,59,49
ISM00040180,"BEN GURION, IS",2/5/2024,57,,51
ISM00040180,"BEN GURION, IS",2/6/2024,59,67,
ISM00040180,"BEN GURION, IS",2/7/2024,59,68,
ISM00040180,"BEN GURION, IS",2/8/2024,59,,47
ISM00040180,"BEN GURION, IS",2/9/2024,59,67,
ISM00040180,"BEN GURION, IS",2/10/2024,58,,
ISM00040180,"BEN GURION, IS",2/11/2024,60,70,
ISM00040180,"BEN GURION, IS",2/12/2024,64,76,51
ISM00040180,"BEN GURION, IS",2/13/2024,66,78,55
,,,,,
